,Unnamed: 0,ID,arrival_club,arrival_league,player_name,age,position,transfer_price,year_1,year_2,origin_club,origin_league,grouping_position,arrival_club_tier,origin_club_tier,age_grouping_1,age_grouping_2,transfer_price_group1,transfer_price_group2,nationality,pot_fifa,ovr_fifa,height,overall_app,overall_gls,potential_fifa,overall_fifa,new_height,appearances,goals,N
5683,5683,1440,Real Betis Balompié,Primera Division,Juanmi,26,Right Winger,7.2,2019,After2016,Real Sociedad,Primera Division,F,Tier_2,Tier_2,U30,Under30,10Mto5M,20Mto5M,Spain,78.0,77.0,5.5432,233.0,49.0,75to84,75to84,5.5to6,150to300,20to50,EU
5684,5684,1822,West Ham United,Premier League,Pedro Obiang,23,Central Midfield,5.4,2015,Before2016,UC Sampdoria,Serie A,M,Tier_1,Tier_2,U25,Under23,10Mto5M,20Mto5M,Spain,80.0,74.0,6.068,128.0,4.0,75to84,65to74,6to6.5,50to150,below20,EU
5686,5686,436,Villarreal CF,Primera Division,Gerard Moreno,26,Centre Forward,18.0,2018,After2016,RCD Espanyol Barcelona,Primera Division,F,Tier_1,Tier_3,U30,Under30,40Mto10M,20Mto5M,Spain,83.0,77.0,5.904,246.0,104.0,75to84,75to84,6to6.5,150to300,100above,EU
5688,5688,420,Arsenal FC,Premier League,Lucas Pérez,27,Centre Forward,18.0,2016,After2016,Deportivo de La Coruña,Primera Division,F,Tier_1,Tier_3,U30,Under30,40Mto10M,20Mto5M,Spain,79.0,74.0,5.904,246.0,91.0,75to84,65to74,6to6.5,150to300,50to100,EU
5691,5691,1858,Real Madrid,Primera Division,Kiko Casilla,28,Goalkeeper,5.4,2015,Before2016,RCD Espanyol Barcelona,Primera Division,GK,Tier_1,Tier_3,U30,Under30,10Mto5M,20Mto5M,Spain,80.0,77.0,6.232,153.0,0.0,75to84,75to84,6to6.5,150to300,below20,EU
5695,5695,1116,Valencia CF,Primera Division,Santi Mina,19,Centre Forward,9.0,2015,Before2016,Celta de Vigo,Primera Division,F,Tier_1,Tier_2,U21,Under23,10Mto5M,20Mto5M,Spain,81.0,66.0,5.9368,63.0,17.0,75to84,65to74,6to6.5,50to150,below20,EU
5707,5707,494,Swansea City,Premier League,Borja Bastón,23,Centre Forward,16.2,2016,After2016,Atlético Madrid,Primera Division,F,Tier_2,Tier_1,U25,Under23,40Mto10M,20Mto5M,Spain,80.0,71.0,6.2648,38.0,16.0,75to84,65to74,6to6.5,below50,below20,EU
5710,5710,1056,FC Schalke 04,1 Bundesliga,Omar Mascarell,25,Defensive Midfield,9.0,2018,After2016,Real Madrid,Primera Division,M,Tier_2,Tier_1,U25,Under30,10Mto5M,20Mto5M,Spain,81.0,76.0,5.904,184.0,11.0,75to84,75to84,6to6.5,150to300,below20,EU
5711,5711,274,Paris Saint-Germain,Ligue 1,Jesé,23,Centre Forward,22.5,2016,After2016,Real Madrid,Primera Division,F,Tier_1,Tier_1,U25,Under23,40Mto10M,60Mto20M,Spain,87.0,76.0,5.8384,143.0,45.0,85above,75to84,5.5to6,50to150,20to50,EU
5715,5715,214,FC Barcelona,Primera Division,Paco Alcácer,23,Centre Forward,27.0,2016,After2016,Valencia CF,Ligue 1,F,Tier_1,Tier_1,U25,Under23,40Mto10M,60Mto20M,Spain,86.0,80.0,5.74,157.0,72.0,85above,75to84,5.5to6,150to300,50to100,EU
5716,5716,380,Borussia Dortmund,1 Bundesliga,Paco Alcácer,25,Centre Forward,18.9,2019,After2016,FC Barcelona,Primera Division,F,Tier_1,Tier_1,U25,Under30,40Mto10M,20Mto5M,Spain,85.0,79.0,5.74,214.0,85.0,85above,75to84,5.5to6,150to300,50to100,EU
5717,5717,1351,Borussia Dortmund,1 Bundesliga,Marc Bartra,25,Centre Back,7.2,2016,After2016,FC Barcelona,Primera Division,D,Tier_1,Tier_1,U25,Under30,10Mto5M,20Mto5M,Spain,83.0,76.0,6.0352,140.0,7.0,75to84,75to84,6to6.5,50to150,below20,EU
5721,5721,1617,Newcastle United,Premier League,Mikel Merino,22,Defensive Midfield,6.3,2018,After2016,Borussia Dortmund,1 Bundesliga,M,Tier_1,Tier_1,U25,Under23,10Mto5M,20Mto5M,Spain,78.12781955,70.90105720000001,6.1664,100.0,6.0,75to84,65to74,6to6.5,50to150,below20,EU
5722,5722,904,Real Sociedad,Primera Division,Mikel Merino,22,Defensive Midfield,10.8,2018,After2016,Newcastle United,Premier League,M,Tier_2,Tier_1,U25,Under23,40Mto10M,20Mto5M,Spain,78.12781955,70.90105720000001,6.1664,100.0,6.0,75to84,65to74,6to6.5,50to150,below20,EU
5724,5724,1441,Villarreal CF,Primera Division,Rubén Peña,27,Right Back,7.2,2019,After2016,SD Eibar,Primera Division,D,Tier_1,Tier_3,U30,Under30,10Mto5M,20Mto5M,Spain,79.0,74.0,5.5760000000000005,272.0,37.0,75to84,65to74,5.5to6,150to300,20to50,EU
5729,5729,1305,AS Monaco,Ligue 1,Jorge,20,Left Back,7.65,2016,After2016,Flamengo,Other,D,Tier_1,Tier_4,U21,Under23,10Mto5M,20Mto5M,Spain,66.0,70.90105720000001,6.0352,136.1753754,20.22582583,65to74,65to74,6to6.5,50to150,20to50,EU
5731,5731,663,AFC Bournemouth,Premier League,Diego Rico,25,Left Back,13.5,2018,After2016,CD Leganés,Primera Division,D,Tier_2,Tier_3,U25,Under30,40Mto10M,20Mto5M,Spain,81.0,76.0,5.9368,174.0,8.0,75to84,75to84,6to6.5,150to300,below20,EU
5734,5734,406,FC Porto,Other,Óliver Torres,22,Central Midfield,18.0,2017,After2016,Atlético Madrid,Primera Division,M,Tier_1,Tier_1,U25,Under23,40Mto10M,20Mto5M,Spain,84.0,78.0,5.7072,57.0,4.0,75to84,75to84,5.5to6,50to150,below20,EU
5735,5735,908,Sevilla FC,Primera Division,Óliver Torres,24,Central Midfield,10.8,2019,After2016,FC Porto,Other,M,Tier_1,Tier_1,U25,Under30,40Mto10M,20Mto5M,Spain,83.0,79.0,5.7072,165.0,16.0,75to84,75to84,5.5to6,150to300,below20,EU
5736,5736,1661,US Sassuolo,Serie A,Pol Lirola,20,Right Back,6.3,2017,After2016,Juventus FC,Serie A,D,Tier_2,Tier_1,U21,Under23,10Mto5M,20Mto5M,Spain,80.0,70.90105720000001,6.0024,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,EU
5738,5738,1636,Real Sociedad,Primera Division,Diego Llorente,23,Centre Back,6.3,2017,After2016,Real Madrid,Primera Division,D,Tier_2,Tier_1,U25,Under23,10Mto5M,20Mto5M,Spain,86.0,73.0,6.1008,94.0,4.0,85above,65to74,6to6.5,50to150,below20,EU
5739,5739,1570,1. FC Köln,1 Bundesliga,Jorge Meré,20,Centre Back,6.3,2017,After2016,Sporting CP,Other,D,Tier_3,Tier_2,U21,Under23,10Mto5M,20Mto5M,Spain,84.0,72.0,5.9696,108.0,3.0,75to84,65to74,6to6.5,50to150,below20,EU
5743,5743,1825,Everton FC,Premier League,Sandro Ramírez,21,Centre Forward,5.4,2017,After2016,Málaga CF,Primera Division,F,Tier_1,Tier_2,U21,Under23,10Mto5M,20Mto5M,Spain,78.12781955,70.90105720000001,5.74,108.0,31.0,75to84,65to74,5.5to6,50to150,20to50,EU
5744,5744,903,Villarreal CF,Primera Division,Pablo Fornals,21,Attacking Midfield,10.8,2017,After2016,Málaga CF,Primera Division,M,Tier_1,Tier_2,U21,Under23,40Mto10M,20Mto5M,Spain,86.0,71.0,5.8384,100.0,19.0,85above,65to74,5.5to6,50to150,below20,EU
5745,5745,237,West Ham United,Premier League,Pablo Fornals,23,Attacking Midfield,25.2,2019,After2016,Villarreal CF,Primera Division,M,Tier_1,Tier_1,U25,Under23,40Mto10M,60Mto20M,Spain,87.0,78.0,5.8384,170.0,24.0,85above,75to84,5.5to6,150to300,20to50,EU
5747,5747,737,Sevilla FC,Primera Division,Joan Jordán,24,Central Midfield,12.6,2019,After2016,SD Eibar,Primera Division,M,Tier_1,Tier_3,U25,Under30,40Mto10M,20Mto5M,Spain,83.0,72.0,6.0352,203.0,26.0,75to84,65to74,6to6.5,150to300,20to50,EU
5749,5749,1639,Real Betis Balompié,Primera Division,Víctor Camarasa,23,Central Midfield,6.3,2017,After2016,Levante UD,Primera Division,M,Tier_2,Tier_3,U25,Under23,10Mto5M,20Mto5M,Spain,78.12781955,70.90105720000001,6.0024,88.0,4.0,75to84,65to74,6to6.5,50to150,below20,EU
5751,5751,567,Real Madrid,Primera Division,Dani Ceballos,20,Central Midfield,14.85,2017,After2016,Real Betis Balompié,Primera Division,M,Tier_1,Tier_2,U21,Under23,40Mto10M,20Mto5M,Spain,86.0,74.0,5.8712,98.0,7.0,85above,65to74,5.5to6,50to150,below20,EU
5754,5754,320,Athletic Bilbao,Primera Division,Yuri Berchiche,28,Left Back,21.6,2018,After2016,Paris Saint-Germain,Ligue 1,D,Tier_3,Tier_1,U30,Under30,40Mto10M,60Mto20M,Spain,78.0,70.90105720000001,5.9368,244.0,13.0,75to84,65to74,6to6.5,150to300,below20,EU
5755,5755,175,Athletic Bilbao,Primera Division,Iñigo Martínez,26,Centre Back,28.8,2017,After2016,Real Sociedad,Primera Division,D,Tier_3,Tier_2,U30,Under30,40Mto10M,60Mto20M,Spain,85.0,80.0,5.9696,136.1753754,20.22582583,85above,75to84,6to6.5,50to150,20to50,EU
5758,5758,1070,Olympique Lyon,Ligue 1,Pape Cheikh,20,Central Midfield,9.0,2017,After2016,Celta de Vigo,Primera Division,M,Tier_1,Tier_2,U21,Under23,10Mto5M,20Mto5M,Spain,78.12781955,70.90105720000001,5.904,43.0,3.0,75to84,65to74,6to6.5,below50,below20,EU
5761,5761,830,Swansea City,Premier League,Roque Mesa,28,Central Midfield,11.25,2017,After2016,UD Las Palmas,Primera Division,M,Tier_2,Tier_4,U30,Under30,40Mto10M,20Mto5M,Spain,82.0,73.0,5.6088,136.1753754,20.22582583,75to84,65to74,5.5to6,50to150,20to50,EU
5762,5762,1867,Sevilla FC,Primera Division,Roque Mesa,29,Central Midfield,5.4,2018,After2016,Swansea City,Premier League,M,Tier_1,Tier_2,U30,Under30,10Mto5M,20Mto5M,Spain,80.0,82.0,5.6088,136.1753754,20.22582583,75to84,75to84,5.5to6,50to150,20to50,EU
5769,5769,1829,Fulham FC,Premier League,Fabri,30,Goalkeeper,5.4,2018,After2016,Besiktas,Other,GK,Tier_2,Tier_4,U30,Under30,10Mto5M,20Mto5M,Spain,78.12781955,70.90105720000001,6.0352,221.0,0.0,75to84,65to74,6to6.5,150to300,below20,EU
5771,5771,392,Wolverhampton Wanderers,Premier League,Jonny Otto,24,Left Back,18.45,2018,After2016,Atlético Madrid,Primera Division,D,Tier_2,Tier_1,U25,Under30,40Mto10M,20Mto5M,Spain,78.12781955,70.90105720000001,5.74,206.0,3.0,75to84,65to74,5.5to6,150to300,below20,EU
5772,5772,1640,Atlético Madrid,Primera Division,Jonny Otto,24,Left Back,6.3,2018,After2016,Celta de Vigo,Primera Division,D,Tier_1,Tier_2,U25,Under30,10Mto5M,20Mto5M,Spain,78.12781955,70.90105720000001,5.74,206.0,3.0,75to84,65to74,5.5to6,150to300,below20,EU
5773,5773,1202,VfB Stuttgart,1 Bundesliga,Pablo Maffeo,20,Right Back,8.1,2018,After2016,Manchester City,Premier League,D,Tier_2,Tier_1,U21,Under23,10Mto5M,20Mto5M,Spain,86.0,68.0,5.6744,1.0,0.0,85above,65to74,5.5to6,below50,below20,EU
5774,5774,546,Real Madrid,Primera Division,Brahim Díaz,19,Left Winger,15.3,2018,After2016,Manchester City,Premier League,F,Tier_1,Tier_1,U21,Under23,40Mto10M,20Mto5M,Spain,85.0,65.0,5.6088,136.1753754,20.22582583,85above,65to74,5.5to6,50to150,20to50,EU
5776,5776,886,Manchester City,Premier League,Angeliño,22,Left Back,10.8,2019,After2016,PSV Eindhoven,Other,D,Tier_1,Tier_2,U25,Under23,40Mto10M,20Mto5M,Spain,84.0,71.0,5.6416,99.0,4.0,75to84,65to74,5.5to6,50to150,below20,EU
5781,5781,1618,Brighton & Hove Albion,Premier League,Martín Montoya,27,Right Back,6.3,2018,After2016,Valencia CF,Ligue 1,D,Tier_2,Tier_1,U30,Under30,10Mto5M,20Mto5M,Spain,78.12781955,70.90105720000001,5.7072,189.0,3.0,75to84,65to74,5.5to6,150to300,below20,EU
5785,5785,1436,Celta de Vigo,Primera Division,Fran Beltrán,19,Central Midfield,7.2,2018,After2016,Rayo Vallecano,Primera Division,M,Tier_2,Tier_4,U21,Under23,10Mto5M,20Mto5M,Spain,79.0,69.0,5.5760000000000005,94.0,1.0,75to84,65to74,5.5to6,50to150,below20,EU
5788,5788,220,SSC Napoli,Serie A,Fabián Ruiz,22,Central Midfield,27.0,2018,After2016,Real Betis Balompié,Primera Division,M,Tier_1,Tier_2,U25,Under23,40Mto10M,60Mto20M,Spain,78.12781955,70.90105720000001,6.1992,79.0,6.0,75to84,65to74,6to6.5,50to150,below20,EU
5791,5791,20,Chelsea FC,Premier League,Kepa,23,Goalkeeper,72.0,2018,After2016,Wigan Athletic,Premier League,GK,Tier_1,Tier_3,U25,Under23,80Mto40M,Above60M,Spain,87.0,70.90105720000001,6.1008,193.0,0.0,85above,65to74,6to6.5,150to300,below20,EU
5792,5792,217,Real Madrid,Primera Division,Álvaro Odriozola,22,Right Back,27.0,2018,After2016,Real Sociedad,Primera Division,D,Tier_1,Tier_2,U25,Under23,40Mto10M,60Mto20M,Spain,78.12781955,70.90105720000001,5.7728,136.0,3.0,75to84,65to74,5.5to6,50to150,below20,EU
5794,5794,1118,RCD Espanyol Barcelona,Primera Division,Borja Iglesias,25,Centre Forward,9.0,2018,After2016,Celta de Vigo,Primera Division,F,Tier_3,Tier_2,U25,Under30,10Mto5M,20Mto5M,Spain,78.0,66.0,6.1336,174.0,84.0,75to84,65to74,6to6.5,150to300,50to100,EU
5795,5795,239,Real Betis Balompié,Primera Division,Borja Iglesias,26,Centre Forward,25.2,2019,After2016,RCD Espanyol Barcelona,Primera Division,F,Tier_2,Tier_3,U30,Under30,40Mto10M,60Mto20M,Spain,83.0,73.0,6.1336,250.0,123.0,75to84,65to74,6to6.5,150to300,100above,EU
5801,5801,1870,Getafe CF,Primera Division,Enric Gallego,32,Centre Forward,5.4,2019,After2016,SD Huesca,Primera Division,F,Tier_3,Tier_4,A30,Above30,10Mto5M,20Mto5M,Spain,74.0,70.90105720000001,6.232,347.0,164.0,65to74,65to74,6to6.5,300above,100above,EU
5802,5802,218,Atlético Madrid,Primera Division,Marcos Llorente,24,Defensive Midfield,27.0,2019,After2016,Real Madrid,Primera Division,M,Tier_1,Tier_1,U25,Under30,40Mto10M,60Mto20M,Spain,87.0,78.0,6.0352,80.0,3.0,85above,75to84,6to6.5,50to150,below20,EU
5803,5803,407,SL Benfica,Other,Raúl de Tomás,24,Second Striker,18.0,2019,After2016,Real Madrid,Primera Division,F,Tier_1,Tier_1,U25,Under30,40Mto10M,20Mto5M,Spain,78.12781955,70.90105720000001,5.8384,78.0,22.0,75to84,65to74,5.5to6,50to150,20to50,EU
5807,5807,1121,Real Sociedad,Primera Division,Portu,27,Attacking Midfield,9.0,2019,After2016,FC Girondins Bordeaux,Ligue 1,M,Tier_2,Tier_2,U30,Under30,10Mto5M,20Mto5M,Spain,81.0,78.0,5.8384,317.0,45.0,75to84,75to84,5.5to6,300above,20to50,EU
5808,5808,885,Manchester City,Premier League,Pedro Porro,19,Right Back,10.8,2019,After2016,FC Girondins Bordeaux,Ligue 1,D,Tier_1,Tier_2,U21,Under23,40Mto10M,20Mto5M,Spain,86.0,70.90105720000001,5.7728,37.0,3.0,85above,65to74,5.5to6,below50,below20,EU
5813,5813,1528,Villarreal CF,Primera Division,Javi Ontiveros,21,Left Winger,6.75,2019,After2016,Málaga CF,Primera Division,F,Tier_1,Tier_2,U21,Under23,10Mto5M,20Mto5M,Spain,78.12781955,70.90105720000001,5.7072,106.0,23.0,75to84,65to74,5.5to6,50to150,20to50,EU
5815,5815,1643,Real Betis Balompié,Primera Division,Álex Moreno,26,Left Back,6.3,2019,After2016,Rayo Vallecano,Primera Division,D,Tier_2,Tier_4,U30,Under30,10Mto5M,20Mto5M,Spain,77.0,71.0,5.8712,183.0,12.0,75to84,65to74,5.5to6,150to300,below20,EU
5816,5816,1782,1.FSV Mainz 05,1 Bundesliga,Aarón Martín,22,Left Back,5.4,2019,After2016,RCD Espanyol Barcelona,Primera Division,D,Tier_2,Tier_3,U25,Under23,10Mto5M,20Mto5M,Spain,84.0,77.0,5.904,98.0,1.0,75to84,75to84,6to6.5,50to150,below20,EU
5817,5817,297,Atlético Madrid,Primera Division,Mario Hermoso,24,Centre Back,22.5,2019,After2016,RCD Espanyol Barcelona,Primera Division,D,Tier_1,Tier_3,U25,Under30,40Mto10M,60Mto20M,Spain,86.0,70.90105720000001,6.0352,152.0,7.0,85above,65to74,6to6.5,150to300,below20,EU
5819,5819,326,AS Roma,Serie A,Pau López,24,Goalkeeper,21.15,2019,After2016,Real Betis Balompié,Primera Division,GK,Tier_1,Tier_2,U25,Under30,40Mto10M,60Mto20M,Spain,87.0,81.0,6.1992,135.0,0.0,85above,75to84,6to6.5,50to150,below20,EU
5820,5820,508,FC Barcelona,Primera Division,Júnior Firpo,22,Left Back,16.2,2019,After2016,Real Betis Balompié,Primera Division,D,Tier_1,Tier_2,U25,Under23,40Mto10M,20Mto5M,Spain,78.12781955,70.90105720000001,6.0352,83.0,7.0,75to84,65to74,6to6.5,50to150,below20,EU
5832,5832,1836,CSKA Moscow,Other,Rasmus Elm,24,Defensive Midfield,5.4,2012,Before2016,AZ Alkmaar,Other,M,Tier_2,Tier_3,U25,Under30,10Mto5M,20Mto5M,Sweden,84.0,73.0,6.0352,179.0,35.0,75to84,65to74,6to6.5,150to300,20to50,EU
5833,5833,1045,Hamburger SV,1 Bundesliga,Marcus Berg,22,Centre Forward,9.0,2009,Before2016,FC Groningen,Other,F,Tier_2,Tier_4,U25,Under23,10Mto5M,20Mto5M,Sweden,80.0,68.0,6.0024,109.0,53.0,75to84,65to74,6to6.5,50to150,50to100,EU
5834,5834,28,FC Barcelona,Primera Division,Zlatan Ibrahimovic,27,Centre Forward,62.55,2009,Before2016,Inter Milan,Serie A,F,Tier_1,Tier_1,U30,Under30,80Mto40M,Above60M,Sweden,94.0,86.0,6.396,272.0,131.0,85above,85above,6to6.5,150to300,100above,EU
5835,5835,321,AC Milan,Serie A,Zlatan Ibrahimovic,29,Centre Forward,21.6,2011,Before2016,FC Barcelona,Primera Division,F,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,Sweden,78.12781955,70.90105720000001,6.396,301.0,147.0,75to84,65to74,6to6.5,300above,100above,EU
5836,5836,381,Paris Saint-Germain,Ligue 1,Zlatan Ibrahimovic,30,Centre Forward,18.9,2012,Before2016,AC Milan,Serie A,F,Tier_1,Tier_1,U30,Under30,40Mto10M,20Mto5M,Sweden,78.12781955,70.90105720000001,6.396,362.0,189.0,75to84,65to74,6to6.5,300above,100above,EU
5901,5901,1286,Borussia Dortmund,1 Bundesliga,Alexander Isak,17,Centre Forward,7.74,2016,After2016,AIK,Other,F,Tier_1,Tier_4,U21,Under23,10Mto5M,20Mto5M,Sweden,78.12781955,70.90105720000001,6.2976,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,EU
5902,5902,1733,Real Sociedad,Primera Division,Alexander Isak,19,Centre Forward,5.85,2019,After2016,Borussia Dortmund,1 Bundesliga,F,Tier_2,Tier_1,U21,Under23,10Mto5M,20Mto5M,Sweden,84.0,69.0,6.2976,36.0,15.0,75to84,65to74,6to6.5,below50,below20,EU
5905,5905,148,Manchester United,Premier League,Victor Lindelöf,22,Centre Back,31.5,2017,After2016,SL Benfica,Other,D,Tier_1,Tier_1,U25,Under23,40Mto10M,60Mto20M,Sweden,78.12781955,70.90105720000001,6.1336,185.0,6.0,75to84,65to74,6to6.5,150to300,below20,EU
5912,5912,1262,AS Roma,Serie A,Robin Olsen,28,Goalkeeper,8.1,2018,After2016,FC Copenhagen,Other,GK,Tier_1,Tier_4,U30,Under30,10Mto5M,20Mto5M,Sweden,75.0,73.0,6.4288,180.0,0.0,75to84,65to74,6to6.5,150to300,below20,EU
5941,5941,1450,SSC Napoli,Serie A,Valon Behrami,27,Defensive Midfield,7.2,2012,Before2016,ACF Fiorentina,Serie A,M,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,Switzerland,82.0,76.0,6.0352,229.0,11.0,75to84,75to84,6to6.5,150to300,below20,EU
5942,5942,1768,Hamburger SV,1 Bundesliga,Valon Behrami,29,Defensive Midfield,5.4,2014,Before2016,SSC Napoli,Serie A,M,Tier_2,Tier_1,U30,Under30,10Mto5M,20Mto5M,Switzerland,79.0,79.0,6.0352,283.0,11.0,75to84,75to84,6to6.5,150to300,below20,EU
5945,5945,1649,Parma FC,Serie A,Blerim Dzemaili,24,Central Midfield,6.3,2010,Before2016,Torino FC,Serie A,M,Tier_2,Tier_2,U25,Under30,10Mto5M,20Mto5M,Switzerland,78.12781955,70.90105720000001,5.904,141.0,9.0,75to84,65to74,6to6.5,50to150,below20,EU
5946,5946,1245,SSC Napoli,Serie A,Blerim Dzemaili,25,Central Midfield,8.1,2011,Before2016,Parma Calcio 1913,Serie A,M,Tier_1,Tier_3,U25,Under30,10Mto5M,20Mto5M,Switzerland,78.12781955,70.90105720000001,5.904,190.0,11.0,75to84,65to74,6to6.5,150to300,below20,EU
5949,5949,1141,Juventus FC,Serie A,Stephan Lichtsteiner,27,Right Back,8.94,2011,Before2016,SS Lazio,Serie A,D,Tier_1,Tier_2,U30,Under30,10Mto5M,20Mto5M,Switzerland,85.0,75.0,5.9696,268.0,12.0,85above,75to84,6to6.5,150to300,below20,EU
5950,5950,1293,VfL Wolfsburg,1 Bundesliga,Ricardo Rodríguez,19,Left Back,7.65,2011,Before2016,FC Zürich,Other,D,Tier_1,Tier_4,U21,Under23,10Mto5M,20Mto5M,Switzerland,78.12781955,70.90105720000001,5.904,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,EU
5951,5951,692,AC Milan,Serie A,Ricardo Rodríguez,24,Left Back,13.5,2017,After2016,VfL Wolfsburg,1 Bundesliga,D,Tier_1,Tier_1,U25,Under30,40Mto10M,20Mto5M,Switzerland,83.0,70.90105720000001,5.904,184.0,17.0,75to84,65to74,6to6.5,150to300,below20,EU
5952,5952,512,SSC Napoli,Serie A,Gökhan Inler,27,Defensive Midfield,16.2,2011,Before2016,Udinese Calcio,Serie A,M,Tier_1,Tier_2,U30,Under30,40Mto10M,20Mto5M,Switzerland,80.0,80.0,6.0024,218.0,12.0,75to84,75to84,6to6.5,150to300,below20,EU
5953,5953,1614,Leicester City,Premier League,Gökhan Inler,31,Defensive Midfield,6.3,2015,Before2016,SSC Napoli,Serie A,M,Tier_1,Tier_1,A30,Above30,10Mto5M,20Mto5M,Switzerland,79.0,79.0,6.0024,336.0,21.0,75to84,75to84,6to6.5,300above,20to50,EU
5955,5955,1764,VfL Wolfsburg,1 Bundesliga,Timm Klose,25,Centre Back,5.4,2013,Before2016,1.FC Nuremberg,1 Bundesliga,D,Tier_1,Tier_4,U25,Under30,10Mto5M,20Mto5M,Switzerland,79.0,71.0,6.3304,151.0,9.0,75to84,65to74,6to6.5,150to300,below20,EU
5956,5956,981,Norwich City,Premier League,Timm Klose,27,Centre Back,9.9,2015,Before2016,VfL Wolfsburg,1 Bundesliga,D,Tier_3,Tier_1,U30,Under30,10Mto5M,20Mto5M,Switzerland,76.0,74.0,6.3304,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,EU
5957,5957,926,Bayern Munich,1 Bundesliga,Xherdan Shaqiri,20,Right Winger,10.62,2012,Before2016,FC Basel,Other,F,Tier_1,Tier_4,U21,Under23,40Mto10M,20Mto5M,Switzerland,86.0,69.0,5.5432,111.0,26.0,85above,65to74,5.5to6,50to150,20to50,EU
5958,5958,690,Inter Milan,Serie A,Xherdan Shaqiri,23,Right Winger,13.5,2015,Before2016,Bayern Munich,1 Bundesliga,F,Tier_1,Tier_1,U25,Under23,40Mto10M,20Mto5M,Switzerland,84.0,80.0,5.5432,163.0,37.0,75to84,75to84,5.5to6,150to300,20to50,EU
5959,5959,538,Stoke City,Premier League,Xherdan Shaqiri,23,Right Winger,15.3,2015,Before2016,Inter Milan,Serie A,F,Tier_2,Tier_1,U25,Under23,40Mto10M,20Mto5M,Switzerland,84.0,80.0,5.5432,163.0,37.0,75to84,75to84,5.5to6,150to300,20to50,EU
5960,5960,700,Liverpool FC,Premier League,Xherdan Shaqiri,26,Right Winger,13.23,2018,After2016,Stoke City,Premier League,F,Tier_1,Tier_2,U30,Under30,40Mto10M,20Mto5M,Switzerland,83.0,82.0,5.5432,262.0,53.0,75to84,75to84,5.5to6,150to300,50to100,EU
5961,5961,1294,Borussia Mönchengladbach,1 Bundesliga,Granit Xhaka,19,Defensive Midfield,7.65,2012,Before2016,FC Basel,Other,M,Tier_2,Tier_4,U21,Under23,10Mto5M,20Mto5M,Switzerland,85.0,62.0,6.0024,42.0,1.0,85above,below65,6to6.5,below50,below20,EU
5962,5962,63,Arsenal FC,Premier League,Granit Xhaka,23,Defensive Midfield,40.5,2016,After2016,Borussia Mönchengladbach,1 Bundesliga,M,Tier_1,Tier_2,U25,Under23,80Mto40M,60Mto20M,Switzerland,86.0,79.0,6.0024,150.0,7.0,85above,75to84,6to6.5,150to300,below20,EU
5969,5969,1186,VfL Wolfsburg,1 Bundesliga,Kevin Mbabu,24,Right Back,8.28,2019,After2016,BSC Young Boys,Other,D,Tier_1,Tier_4,U25,Under30,10Mto5M,20Mto5M,Switzerland,83.0,72.0,6.0352,81.0,3.0,75to84,65to74,6to6.5,50to150,below20,EU
5975,5975,1670,Bayer 04 Leverkusen,1 Bundesliga,Josip Drmic,21,Centre Forward,6.12,2014,Before2016,1.FC Nuremberg,1 Bundesliga,F,Tier_1,Tier_4,U21,Under23,10Mto5M,20Mto5M,Switzerland,78.12781955,70.90105720000001,6.0352,121.0,61.0,75to84,65to74,6to6.5,50to150,50to100,EU
5976,5976,1052,Borussia Mönchengladbach,1 Bundesliga,Josip Drmic,22,Centre Forward,9.0,2015,Before2016,Bayer 04 Leverkusen,1 Bundesliga,F,Tier_2,Tier_1,U25,Under23,10Mto5M,20Mto5M,Switzerland,78.12781955,70.90105720000001,6.0352,146.0,67.0,75to84,65to74,6to6.5,50to150,50to100,EU
5981,5981,1198,Borussia Mönchengladbach,1 Bundesliga,Yann Sommer,25,Goalkeeper,8.1,2014,Before2016,FC Basel,Other,GK,Tier_2,Tier_4,U25,Under30,10Mto5M,20Mto5M,Switzerland,84.0,76.0,6.0024,155.0,0.0,75to84,75to84,6to6.5,150to300,below20,EU
5983,5983,1766,SC Freiburg,1 Bundesliga,Admir Mehmedi,23,Second Striker,5.4,2014,Before2016,Dynamo Kyiv,Other,F,Tier_3,Tier_4,U25,Under23,10Mto5M,20Mto5M,Switzerland,79.0,68.0,6.0024,109.0,20.0,75to84,65to74,6to6.5,50to150,20to50,EU
5984,5984,1350,Bayer 04 Leverkusen,1 Bundesliga,Admir Mehmedi,24,Second Striker,7.2,2015,Before2016,SC Freiburg,1 Bundesliga,F,Tier_1,Tier_3,U25,Under30,10Mto5M,20Mto5M,Switzerland,80.0,74.0,6.0024,168.0,36.0,75to84,65to74,6to6.5,150to300,20to50,EU
5985,5985,1357,VfL Wolfsburg,1 Bundesliga,Admir Mehmedi,26,Second Striker,7.2,2017,After2016,Bayer 04 Leverkusen,1 Bundesliga,F,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,Switzerland,78.0,77.0,6.0024,136.1753754,20.22582583,75to84,75to84,6to6.5,50to150,20to50,EU
