,Unnamed: 0,ID,arrival_club,arrival_league,player_name,age,position,transfer_price,year_1,year_2,origin_club,origin_league,grouping_position,arrival_club_tier,origin_club_tier,age_grouping_1,age_grouping_2,transfer_price_group1,transfer_price_group2,nationality,pot_fifa,ovr_fifa,height,overall_app,overall_gls,potential_fifa,overall_fifa,new_height,appearances,goals,N
271,271,1555,Villarreal CF,Primera Division,Cristian Espinoza,21,Right Winger,6.48,2016,After2016,Huracán,Other,F,Tier_1,Tier_4,U21,Under23,10Mto5M,20Mto5M,Argentina,78.0,70.90105720000001,5.5760000000000005,90.0,9.0,75to84,65to74,5.5to6,50to150,below20,SA
272,272,1067,Paris Saint-Germain,Ligue 1,Giovani Lo Celso,20,Central Midfield,9.0,2016,After2016,CA Rosario,Other,M,Tier_1,Tier_4,U21,Under23,10Mto5M,20Mto5M,Argentina,83.0,53.0,5.8056,27.0,2.0,75to84,below65,5.5to6,below50,below20,SA
273,273,362,Real Betis Balompié,Primera Division,Giovani Lo Celso,23,Central Midfield,19.8,2019,After2016,Paris Saint-Germain,Ligue 1,M,Tier_2,Tier_1,U25,Under23,40Mto10M,20Mto5M,Argentina,88.0,77.0,5.8056,65.0,6.0,85above,75to84,5.5to6,50to150,below20,SA
275,275,1925,SL Benfica,Other,Franco Cervi,22,Left Midfield,5.13,2016,After2016,CA Rosario,Other,F,Tier_1,Tier_4,U25,Under23,10Mto5M,20Mto5M,Argentina,82.0,73.0,5.412000000000001,30.0,5.0,75to84,65to74,below5.5,below50,below20,SA
277,277,793,Tottenham Hotspur,Premier League,Juan Foyth,19,Centre Back,11.7,2017,After2016,Estudiantes,Other,D,Tier_1,Tier_4,U21,Under23,40Mto10M,20Mto5M,Argentina,78.0,70.90105720000001,5.981024551,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,SA
278,278,1775,VfB Stuttgart,1 Bundesliga,Santiago Ascacíbar,20,Defensive Midfield,5.4,2017,After2016,Estudiantes,Other,M,Tier_2,Tier_4,U21,Under23,10Mto5M,20Mto5M,Argentina,78.12781955,70.90105720000001,5.6088,41.0,0.0,75to84,65to74,5.5to6,below50,below20,SA
279,279,1155,Sporting CP,Other,Marcos Acuña,25,Left Back,8.63,2017,After2016,Racing Club,Other,D,Tier_2,Tier_4,U25,Under30,10Mto5M,20Mto5M,Argentina,82.0,72.0,5.6416,195.0,21.0,75to84,65to74,5.5to6,150to300,20to50,SA
280,280,518,AC Milan,Serie A,Mateo Musacchio,26,Centre Back,16.2,2017,After2016,Villarreal CF,Primera Division,D,Tier_1,Tier_1,U30,Under30,40Mto10M,20Mto5M,Argentina,86.0,81.0,5.904,221.0,10.0,85above,75to84,6to6.5,150to300,below20,SA
281,281,314,Bayer 04 Leverkusen,1 Bundesliga,Lucas Alario,24,Centre Forward,21.6,2017,After2016,River Plate,Other,F,Tier_1,Tier_4,U25,Under30,40Mto10M,60Mto20M,Argentina,84.0,70.0,6.0352,142.0,53.0,75to84,65to74,6to6.5,50to150,50to100,SA
282,282,668,Zenit St. Petersburg,Other,Sebastián Driussi,21,Left Winger,13.5,2017,After2016,River Plate,Other,F,Tier_1,Tier_4,U21,Under23,40Mto10M,20Mto5M,Argentina,84.0,68.0,5.8712,67.0,21.0,75to84,65to74,5.5to6,50to150,20to50,SA
284,284,860,PSV Eindhoven,Other,Maximiliano Romero,18,Centre Forward,10.8,2017,After2016,Vélez Sarsfield,Other,F,Tier_2,Tier_4,U21,Under23,40Mto10M,20Mto5M,Argentina,79.0,60.0,5.8712,40.0,9.0,75to84,below65,5.5to6,below50,below20,SA
287,287,1236,Zenit St. Petersburg,Other,Emiliano Rigoni,24,Right Winger,8.1,2017,After2016,Independiente,Other,F,Tier_1,Tier_4,U25,Under30,10Mto5M,20Mto5M,Argentina,84.0,72.0,5.9368,119.0,23.0,75to84,65to74,6to6.5,50to150,20to50,SA
288,288,1284,Sevilla FC,Primera Division,Guido Pizarro,27,Defensive Midfield,7.83,2017,After2016,Tigres UANL,Other,M,Tier_1,Tier_4,U30,Under30,10Mto5M,20Mto5M,Argentina,80.0,75.0,6.068,272.0,13.0,75to84,75to84,6to6.5,150to300,below20,SA
292,292,739,Inter Milan,Serie A,Lautaro Martínez,20,Centre Forward,12.6,2018,After2016,Racing Club,Other,F,Tier_1,Tier_4,U21,Under23,40Mto10M,20Mto5M,Argentina,89.0,72.0,5.7072,48.0,22.0,85above,65to74,5.5to6,below50,20to50,SA
295,295,1297,VfB Stuttgart,1 Bundesliga,Nicólas González,20,Centre Forward,7.65,2018,After2016,Argentinos Jrs.,Other,F,Tier_2,Tier_4,U21,Under23,10Mto5M,20Mto5M,Argentina,78.12781955,70.90105720000001,5.904,44.0,11.0,75to84,65to74,6to6.5,below50,below20,SA
296,296,1401,Brighton & Hove Albion,Premier League,Alexis Mac Allister,20,Attacking Midfield,7.2,2018,After2016,Argentinos Jrs.,Other,M,Tier_2,Tier_4,U21,Under23,10Mto5M,20Mto5M,Argentina,82.0,70.90105720000001,5.7072,136.1753754,20.22582583,75to84,65to74,5.5to6,50to150,20to50,SA
297,297,608,Borussia Dortmund,1 Bundesliga,Leonardo Balerdi,19,Centre Back,13.95,2018,After2016,Boca Juniors,Other,D,Tier_1,Tier_4,U21,Under23,40Mto10M,20Mto5M,Argentina,78.12781955,70.90105720000001,6.1336,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,SA
298,298,1208,Ajax Amsterdam,Other,Lisandro Magallán,25,Centre Back,8.1,2018,After2016,Boca Juniors,Other,D,Tier_2,Tier_4,U25,Under30,10Mto5M,20Mto5M,Argentina,81.0,69.0,6.068,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,SA
299,299,1120,Villarreal CF,Primera Division,Santiago Cáseres,21,Defensive Midfield,9.0,2018,After2016,Vélez Sarsfield,Other,M,Tier_1,Tier_4,U21,Under23,10Mto5M,20Mto5M,Argentina,76.0,53.0,5.8056,22.0,0.0,75to84,below65,5.5to6,below50,below20,SA
300,300,1464,Udinese Calcio,Serie A,Ignacio Pussetto,22,Right Winger,7.2,2018,After2016,Huracán,Other,F,Tier_2,Tier_4,U25,Under23,10Mto5M,20Mto5M,Argentina,83.0,67.0,5.904,86.0,15.0,75to84,65to74,6to6.5,50to150,below20,SA
