Beds,Baths,Rent,neighbourhood,latitude,longitude,Type,Zest,ROI,Neigh,BPB,latlng
3,2,199.0,San Jose,37.26422,-121.86346,Townhouse,1066626.0,-0.9668142328408453,Neigh_South,5,-4541.1467834012
3,2,208.0,Sunnyvale,37.371959999999994,-122.05951999999999,Condominium,1067897.0,-0.9653546526700943,Neigh_North,5,-4561.603499059199
3,2,258.0,Sunnyvale,37.38585,-122.01839,Townhouse,1089237.0,-0.9578683690121035,Neigh_North,5,-4561.7612257815
2,1,120.0,Campbell,37.293279999999996,-121.92788,Townhouse,1114155.0,-0.9808421581597553,Neigh_South,3,-4547.090568646399
2,2,157.0,San Jose,37.38197,-121.86506000000001,Condominium,1129903.0,-0.9752844976644285,Neigh_South,4,-4555.556016968201
2,2,130.0,Santa Clara,37.35971,-121.96287,Condominium,1145460.0,-0.9798128794995219,Neigh_North,4,-4556.4974539677
2,2,161.0,Santa Clara,37.3961,-121.94388000000001,Condominium,1184677.0,-0.9758266483230001,Neigh_North,4,-4560.225530868
2,2,173.0,Sunnyvale,37.40128,-122.01448,Condominium,1208851.0,-0.9745443447768128,Neigh_North,4,-4563.4977305344
2,2,210.0,Mountain View,37.40681,-122.10623000000001,Townhouse,1227607.0,-0.9695721764113789,Neigh_North,4,-4567.6045454263
2,2,159.0,Cupertino,37.323370000000004,-122.02356,Condominium,1243718.0,-0.9772602253967049,Neigh_South,4,-4554.3304785972
3,2,194.0,San Jose,37.39271,-121.90248999999999,Condominium,1244465.0,-0.972271269022897,Neigh_South,5,-4558.2644568479
2,1,250.0,Mountain View,37.39467,-122.08593,Condominium,1271823.0,-0.9650357444990415,Neigh_North,3,-4565.3630639931
2,2,195.0,Santa Clara,37.39506,-121.95908,Condominium,1366779.0,-0.9746225918215625,Neigh_North,4,-4560.6671141448005
3,3,339.0,Santa Clara,37.39973,-121.94861000000002,Townhouse,1388893.0,-0.9565847945786048,Neigh_North,6,-4560.8450878753
3,2,200.0,Mountain View,37.41146,-122.09423999999999,Townhouse,1439552.0,-0.9752876759858649,Neigh_North,5,-4567.723775990399
3,2,190.0,Sunnyvale,37.37112,-122.01552,Condominium,1451666.0,-0.9767192028426397,Neigh_North,5,-4559.8566397824
2,2,220.0,Mountain View,37.396190000000004,-122.06736000000001,Townhouse,1507344.0,-0.9740390096719024,Neigh_North,4,-4564.854187358401
3,2,195.0,Sunnyvale,37.3864,-122.0166,Townhouse,1565935.0,-0.9778500968605233,Neigh_North,5,-4561.76141424
3,2,258.0,Mountain View,37.39159,-122.05778000000001,Townhouse,1583978.0,-0.9710277975184229,Neigh_North,5,-4563.9344660702
3,2,350.0,San Jose,37.30924,-122.0306,Townhouse,1653835.0,-0.9623567755830578,Neigh_South,5,-4552.868942744
2,1,223.0,Mountain View,37.394740000000006,-122.08563000000001,Condominium,1713001.0,-0.97684428489125,Neigh_North,3,-4565.360391586201
2,2,490.0,Palo Alto,37.44412,-122.15975,Condominium,1714800.0,-0.9491731077239146,Neigh_North,4,-4574.16433817
3,2,193.0,Sunnyvale,37.35208,-122.01714,Condominium,1722200.0,-0.9800664488339772,Neigh_North,5,-4557.5939746512
3,2,250.0,Palo Alto,37.416129999999995,-122.12801,Townhouse,1791204.0,-0.9751740481128919,Neigh_North,5,-4569.5574988012995
1,1,160.0,Mountain View,37.3897,-122.07073000000001,Condominium,1808205.0,-0.9842607777506658,Neigh_North,2,-4564.187973481
3,2,350.0,Mountain View,37.4028,-122.06508000000001,Townhouse,1838821.0,-0.9661436963937253,Neigh_North,5,-4565.575774224
3,2,210.0,Mountain View,37.40569,-122.10313000000001,Condominium,1917006.0,-0.9805147144911616,Neigh_North,5,-4567.3518288097
2,2,199.0,Sunnyvale,37.35243,-122.02271999999999,Townhouse,1947121.0,-0.9818209540742971,Neigh_North,4,-4557.8451072095995
2,3,150.0,Mountain View,37.4123,-122.09573999999999,Townhouse,1986875.0,-0.9865713713271357,Neigh_North,5,-4567.882453602
2,2,170.0,Mountain View,37.397040000000004,-122.06453,Condominium,2100752.0,-0.9856058810652962,Neigh_North,4,-4564.852110991201
2,1,260.0,Mountain View,37.39441,-122.08858000000001,Condominium,2128175.0,-0.9782691375958484,Neigh_North,3,-4565.4304168378
2,2,217.0,Mountain View,37.40508,-122.10388999999999,Condominium,2281876.0,-0.9830847412947821,Neigh_North,4,-4567.3057737612
3,3,264.0,Palo Alto,37.41689,-122.13152,Condominium,2766646.0,-0.9830268955239885,Neigh_North,6,-4569.7816493728
1,1,139.0,Los Altos,37.37293,-122.11185,Condominium,2832302.0,-0.9912705638579002,Neigh_North,2,-4563.6776222205
2,2,195.0,Palo Alto,37.451840000000004,-122.15853999999999,Condominium,2893838.0,-0.9880140807561735,Neigh_North,4,-4575.0620947136
3,3,264.0,Palo Alto,37.41713,-122.13054,Condominium,2939553.0,-0.9840252679212999,Neigh_North,6,-4569.7742921501995
3,2,294.0,Palo Alto,37.44766,-122.16328999999999,Condominium,3249563.0,-0.9839071367673072,Neigh_North,5,-4574.7293484014
2,2,157.0,Sunnyvale,37.391890000000004,-122.01257,Condominium,5075000.0,-0.9944973162097598,Neigh_North,4,-4562.2805960573005
