,arrival_league,year,origin_league,grouping_position,arrival_club_tier,origin_club_tier,age,transfer_price,potential_fifa,overall_fifa,new_height,appearances,goals,N
389,Primera Division,After2016,Other,D,Tier_1,Tier_2,Under23,10Mto5M,75to84,65to74,6to6.5,50to150,below20,EU
390,1 Bundesliga,After2016,Other,F,Tier_3,Tier_4,Under23,10Mto5M,75to84,65to74,6to6.5,50to150,20to50,EU
391,Serie A,After2016,1 Bundesliga,F,Tier_1,Tier_3,Under23,40Mto10M,75to84,75to84,6to6.5,50to150,below20,EU
396,1 Bundesliga,After2016,Other,M,Tier_1,Tier_4,Under23,40Mto10M,75to84,65to74,5.5to6,50to150,below20,EU
397,1 Bundesliga,After2016,Other,M,Tier_2,Tier_4,Under23,40Mto10M,85above,65to74,5.5to6,50to150,20to50,EU
398,1 Bundesliga,After2016,Other,D,Tier_2,Tier_4,Under30,40Mto10M,75to84,65to74,5.5to6,150to300,below20,EU
408,1 Bundesliga,Before2016,Premier League,M,Tier_1,Tier_3,Under23,40Mto10M,75to84,65to74,6to6.5,150to300,20to50,EU
409,Primera Division,Before2016,Primera Division,M,Tier_3,Tier_2,Under30,10Mto5M,75to84,65to74,5.5to6,150to300,20to50,EU
411,Primera Division,Before2016,Primera Division,M,Tier_1,Tier_2,Under23,40Mto10M,75to84,65to74,5.5to6,50to150,below20,EU
412,Primera Division,Before2016,Primera Division,M,Tier_2,Tier_1,Under30,40Mto10M,75to84,65to74,5.5to6,150to300,below20,EU
413,Premier League,After2016,Primera Division,F,Tier_2,Tier_1,Above30,10Mto5M,75to84,65to74,6to6.5,300above,100above,EU
414,Premier League,After2016,Premier League,F,Tier_1,Tier_2,Above30,40Mto10M,75to84,65to74,6to6.5,300above,100above,EU
417,Ligue 1,After2016,Primera Division,D,Tier_1,Tier_2,Under30,40Mto10M,75to84,65to74,6to6.5,150to300,below20,EU
438,Premier League,Before2016,Other,D,Tier_1,Tier_2,Under23,40Mto10M,75to84,65to74,6to6.5,50to150,below20,EU
439,Primera Division,Before2016,Premier League,D,Tier_1,Tier_1,Under30,40Mto10M,75to84,75to84,6to6.5,150to300,20to50,EU
442,Other,Before2016,Other,F,Tier_2,Tier_3,Under30,10Mto5M,75to84,65to74,5.5to6,150to300,50to100,EU
443,Serie A,Before2016,Other,F,Tier_1,Tier_2,Under30,10Mto5M,75to84,75to84,5.5to6,150to300,50to100,EU
447,Serie A,Before2016,Serie A,M,Tier_1,Tier_2,Under30,40Mto10M,75to84,75to84,5.5to6,150to300,below20,EU
448,Serie A,After2016,Serie A,M,Tier_1,Tier_1,Under30,40Mto10M,85above,85above,5.5to6,300above,20to50,EU
