,roi,Zestimate,bedrooms,beds,accommodates,amenities_score,publicSchoolScores,closenessToDowntown,price,minimum_nights_avg_ntm,bathrooms,bikeScore,walkScore,transitScore,property_type,neighbourhood,street
153,"(-12.0209,9.92724]","[165887,544583]","[0,1]","[0,1]","[2,3]","(30,33]","[2.75,3.47373]","(2400.33,4704.33]","[60,135]","(28,353]",1.0,3,5,4,Apartment,South Boston,D Street
154,"(-12.0209,9.92724]","(544583,870941]","[0,1]","(1,2]","[2,3]","[12,30]","[2.75,3.47373]","[898,2400.33]","(135,199]","(28,353]",1.0,3,5,5,Apartment,Downtown,Tremont Street
155,"(-12.0209,9.92724]","[165887,544583]","[0,1]","(1,2]","[2,3]","[12,30]","(3.70142,5.27273]","(2400.33,4704.33]","[60,135]","[1,2]",1.0,2,4,3,Apartment,Charlestown,Sullivan Street
156,"(9.92724,1270.48]","[165887,544583]","(1,2]","(2,8]","(3,5]","[12,30]","[2.75,3.47373]","[898,2400.33]","(199,5555]","(2,28]",1.0,3,5,5,Apartment,Chinatown,Harrison Avenue
157,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","(30,33]","(3.70142,5.27273]","(2400.33,4704.33]","(135,199]","[1,2]",1.0,3,5,5,Apartment,Back Bay,Beacon Street
158,"(-12.0209,9.92724]","(544583,870941]","[0,1]","[0,1]","[2,3]","[12,30]","[2.75,3.47373]","[898,2400.33]","(135,199]","(2,28]",1.0,2,5,5,Apartment,Downtown,Ashburton Place
159,"(-12.0209,9.92724]","(544583,870941]","[0,1]","[0,1]","[2,3]","[12,30]","[2.75,3.47373]","[898,2400.33]","(135,199]","(2,28]",1.0,3,5,5,Apartment,Beacon Hill,Derne Street
160,"(-12.0209,9.92724]","[165887,544583]","[0,1]","[0,1]","[2,3]","(30,33]","[2.75,3.47373]","(2400.33,4704.33]","[60,135]","(28,353]",1.0,2,5,3,Apartment,South Boston,East Fourth Street
161,"(9.92724,1270.48]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","(33,52]","(3.47373,3.70142]","[898,2400.33]","(199,5555]","(2,28]",1.0,4,5,5,Apartment,South End,Lawrence Street
162,"[-38.1201,-12.0209]","(870941,1.14825e+07]","(2,6]","(2,8]","(5,20]","[12,30]","[2.75,3.47373]","(4704.33,19715]","[60,135]","[1,2]",1.0,2,5,3,Apartment,Dorchester,Columbia Road
163,"(-12.0209,9.92724]","(544583,870941]","[0,1]","(1,2]","[2,3]","[12,30]","[2.75,3.47373]","[898,2400.33]","[60,135]","(28,353]",1.0,3,5,5,Condominium,North End,North Street
164,"(-12.0209,9.92724]","(544583,870941]","[0,1]","[0,1]","[2,3]","[12,30]","(3.70142,5.27273]","(2400.33,4704.33]","(135,199]","[1,2]",1.0,3,5,5,Apartment,Back Bay,Newbury Street
165,"(9.92724,1270.48]","(544583,870941]","[0,1]","[0,1]","[2,3]","(33,52]","(3.47373,3.70142]","[898,2400.33]","(199,5555]","(2,28]",1.0,3,5,5,Condominium,South End,Dwight Street
166,"(9.92724,1270.48]","[165887,544583]","(1,2]","(1,2]","(3,5]","(33,52]","[2.75,3.47373]","[898,2400.33]","(199,5555]","(2,28]",2.0,3,5,5,Apartment,Chinatown,Knapp Street
167,"(9.92724,1270.48]","(544583,870941]","[0,1]","(1,2]","[2,3]","[12,30]","(3.70142,5.27273]","(2400.33,4704.33]","(199,5555]","(2,28]",1.0,3,5,5,Apartment,Fenway,Brookline Avenue
168,"(9.92724,1270.48]","[165887,544583]","[0,1]","[0,1]","[2,3]","(30,33]","[2.75,3.47373]","(2400.33,4704.33]","[60,135]","(28,353]",1.0,3,5,4,Apartment,South Boston,Bolton Street
169,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","(1,2]","[2,3]","(33,52]","(3.47373,3.70142]","[898,2400.33]","(135,199]","(2,28]",1.0,2,5,5,Apartment,Beacon Hill,Phillips Street
170,"(-12.0209,9.92724]","[165887,544583]","[0,1]","[0,1]","[2,3]","(30,33]","[2.75,3.47373]","(2400.33,4704.33]","[60,135]","(28,353]",1.0,2,5,3,Apartment,South Boston,Bolton Street
171,"(-12.0209,9.92724]","[165887,544583]","(1,2]","(1,2]","(3,5]","(30,33]","[2.75,3.47373]","(2400.33,4704.33]","[60,135]","(28,353]",2.0,3,5,4,Apartment,South Boston,West Second Street
172,"(9.92724,1270.48]","[165887,544583]","(1,2]","(2,8]","(5,20]","(33,52]","(3.47373,3.70142]","(4704.33,19715]","(135,199]","(28,353]",1.0,4,5,4,Apartment,Jamaica Plain,Mendell Way
173,"[-38.1201,-12.0209]","(870941,1.14825e+07]","(1,2]","(2,8]","(3,5]","(33,52]","(3.47373,3.70142]","[898,2400.33]","(135,199]","(2,28]",1.0,3,5,5,Apartment,Beacon Hill,Bellingham Place
174,"(-12.0209,9.92724]","[165887,544583]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","(4704.33,19715]","[60,135]","[1,2]",1.0,2,4,3,Apartment,East Boston,Trenton Street
175,"(-12.0209,9.92724]","(544583,870941]","(2,6]","(2,8]","(3,5]","(30,33]","(3.47373,3.70142]","(2400.33,4704.33]","(135,199]","(2,28]",1.0,3,5,4,Apartment,East Boston,Bremen Street
176,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","[12,30]","[2.75,3.47373]","[898,2400.33]","[60,135]","(2,28]",1.0,2,5,5,Apartment,Beacon Hill,Beacon Street
177,"[-38.1201,-12.0209]","(870941,1.14825e+07]","(1,2]","(1,2]","(5,20]","(33,52]","(3.47373,3.70142]","[898,2400.33]","[60,135]","(2,28]",1.5,2,5,5,Apartment,Beacon Hill,Phillips Street
178,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","(1,2]","(3,5]","(30,33]","(3.70142,5.27273]","(2400.33,4704.33]","(135,199]","(2,28]",1.0,3,5,5,Apartment,Back Bay,Newbury Street
179,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","(1,2]","(3,5]","(30,33]","(3.70142,5.27273]","(2400.33,4704.33]","(199,5555]","(2,28]",1.0,3,5,5,Apartment,Back Bay,Commonwealth Avenue
