player_name,height,nationality
Sergej Milinkovic-Savic,1.91,Serbia
Leonardo Pavoletti,1.88,Italy
Mateo Musacchio,1.8,Argentina
Nahitan Nández,1.71,Uruguay
Merih Demiral,1.9,Turkey
Oumar Niasse,1.82,Senegal
Chicharito,1.75,Mexico
Nathaniel Clyne,1.7526,England
Wilfred Ndidi,1.83,Nigeria
Panagiotis Retsos,1.86,Greece
Daley Blind,1.8,Netherlands
Mario Lemina,1.84,Gabon
Justin Kluivert,1.71,Netherlands
Marco Reus,1.8,Germany
Luiz Gustavo,1.88,Brazil
Jhon Córdoba,1.88,Colombia
Matthias Ginter,1.89,Germany
John Anthony Brooks,1.9304,United States
Carlos Vinícius,1.9,
Xherdan Shaqiri,1.69,Switzerland
Manolo Gabbiadini,1.86,Italy
Olivier Giroud,1.93,France
Jürgen Locadia,1.85,Netherlands
Emiliano Sala,1.87,
Daniel James,1.7,Wales
Aleix Vidal,1.77,Catalonia
Brahim Díaz,1.71,Spain
Munas Dabbur,1.81,Israel
Giovanni Simeone,1.8,Argentina
Diego Laxalt,1.78,Uruguay
Duván Zapata,1.89,Colombia
Ross Barkley,1.89,England
Ben Gibson,1.85,England
Yves Bissouma,1.82,Mali
Alfie Mawson,1.88,England
Douglas Luiz,1.75,Brazil
Franco Vázquez,1.87,Argentina
Che Adams,1.75,England
Gerson,1.75,Brazil
Yusuf Yazici,1.83,Turkey
Philip Billing,1.93,Denmark
Nilmar,1.8,Brazil
Dani Ceballos,1.79,Spain
Stefano Sturaro,1.81,Italy
Chris Wood,1.91,New Zealand
Sam Clucas,1.8796,England C
Aly Cissokho,1.81,France
Jean-Kévin Augustin,1.77,France
Sebastian Rudy,1.79,Germany
Nordi Mukiele,1.87,France
Rafa Silva,1.72,Portugal
André-Pierre Gignac,1.85,France
Asamoah Gyan,1.86,Ghana
Shinji Kagawa,1.75,Japan
Toby Alderweireld,1.87,Belgium
Jonjo Shelvey,1.84,England
Wesley Hoedt,1.88,Netherlands
Badou Ndiaye,1.81,Senegal
Sokratis,1.86,Greece
Emanuel Mammana,1.84,Argentina
Jan Oblak,1.88,Slovenia
Sime Vrsaljko,1.81,Croatia
Daniel Osvaldo,1.83,Italy
Rick Karsdorp,1.84,Netherlands
Ismaël Bennacer,1.75,Algeria
Eljif Elmas,1.82,North Macedonia
Andros Townsend,1.81,England
Moussa Djenepo,1.77,Mali
Nikola Vlasic,1.78,Croatia
Leonardo Balerdi,1.87,Argentina
Loïc Rémy,1.85,France
Nampalys Mendy,1.67,France
Matt Targett,1.83,England
Stephan El Shaarawy,1.78,Italy
Alessandro Matri,1.83,Italy
Ryan Mason,1.7526,England
James McCarthy,1.8,Republic of Ireland
Oliver Burke,1.88,Scotland
Steven Fletcher,1.86,Scotland
Gastón Ramírez,1.83,Uruguay
Matija Nastasic,1.88,Serbia
Konstantinos Mitroglou,1.88,Greece
